System ID,Climate,STCs,CER Size,Description,Fuel,Energisation,Function,a,b,c,d,,Notes
SOF-1-00,1,#N/A,#N/A,Solid fuel,Solid,Any,Main,0,-0.72615,1427.23,4743,,Equivalent to original curve
SOF-2-00,2,#N/A,#N/A,Solid fuel,Solid,Any,Main,0,-0.54175,1423.292,4885,,Equivalent to original curve
SOF-3-00,3,#N/A,#N/A,Solid fuel,Solid,Any,Main,0,-0.27092,1415.114,5152,,Equivalent to original curve
SOF-4-00,4,#N/A,#N/A,Solid fuel,Solid,Any,Main,0,0.161378,1404.513,5464,,Equivalent to original curve
ESS-1-00,1,#N/A,#N/A,Electric storage small,Electricity,Continuous,Main,0,0,1020.408,1524.119,,
ESS-2-00,2,#N/A,#N/A,Electric storage small,Electricity,Continuous,Main,0,0,1020.408,1583.626,,
ESS-3-00,3,#N/A,#N/A,Electric storage small,Electricity,Continuous,Main,0,0,1020.408,1681.753,,
ESS-4-00,4,#N/A,#N/A,Electric storage small,Electricity,Continuous,Main,0,0,1020.408,1799.074,,
ESL-1-00,1,#N/A,#N/A,Electric storage large,Electricity,Controlled,Main,0,0,963.8672,2525.968,,
ESL-2-00,2,#N/A,#N/A,Electric storage large,Electricity,Controlled,Main,0,0,961.3917,2624.592,,
ESL-3-00,3,#N/A,#N/A,Electric storage large,Electricity,Controlled,Main,0,0,958.0354,2787.221,,
ESL-4-00,4,#N/A,#N/A,Electric storage large,Electricity,Controlled,Main,0,0,953.8245,2981.66,,
EIN-1-00,1,#N/A,#N/A,Electric instantaneous,Electricity,Continuous,Main,0.130838,-5.18353,1195.708,0,,Instant same parameters across climates
EIN-2-00,2,#N/A,#N/A,Electric instantaneous,Electricity,Continuous,Main,0.130838,-5.18353,1195.708,0,,
EIN-3-00,3,#N/A,#N/A,Electric instantaneous,Electricity,Continuous,Main,0.130838,-5.18353,1195.708,0,,
EIN-4-00,4,#N/A,#N/A,Electric instantaneous,Electricity,Continuous,Main,0.130838,-5.18353,1195.708,0,,
GST-1-40,1,#N/A,#N/A,Gas storage 4.0 star,Gas,Continuous,Main,0,0,1215.27,5856.144,,No change
GST-2-40,2,#N/A,#N/A,Gas storage 4.0 star,Gas,Continuous,Main,0,0,1214.224,6084.792,,No change
GST-3-40,3,#N/A,#N/A,Gas storage 4.0 star,Gas,Continuous,Main,0,0,1212.806,6461.826,,No change
GST-4-40,4,#N/A,#N/A,Gas storage 4.0 star,Gas,Continuous,Main,0,0,1211.027,6912.608,,No change
GST-1-45,1,#N/A,#N/A,Gas storage 4.5 star,Gas,Continuous,Main,0,0,1186.804,5263.561,,Updated 31 Oct 2021
GST-2-45,2,#N/A,#N/A,Gas storage 4.5 star,Gas,Continuous,Main,0,0,1185.888,5469.072,,Updated 31 Oct 2021
GST-3-45,3,#N/A,#N/A,Gas storage 4.5 star,Gas,Continuous,Main,0,0,1184.645,5807.953,,Updated 31 Oct 2021
GST-4-45,4,#N/A,#N/A,Gas storage 4.5 star,Gas,Continuous,Main,0,0,1183.087,6213.119,,Updated 31 Oct 2021
