from_postcode,to_postcode,zone
800,854,1
860,860,2
862,862,1
870,875,2
880,886,1
2000,2914,3
3000,3381,4
3384,3384,3
3385,3387,4
3388,3396,3
3400,3413,4
3414,3424,3
3427,3451,4
3453,3465,3
3467,3469,4
3472,3520,3
3521,3522,4
3523,3649,3
3658,3658,4
3659,3709,3
3711,3723,4
3725,3749,3
3750,3898,4
3900,3900,3
3902,3996,4
4000,4419,3
4420,4420,1
4421,4428,3
4454,4454,1
4455,4465,3
4467,4468,1
4470,4474,2
4477,4477,1
4478,4482,2
4486,4488,3
4489,4493,2
4494,4615,3
4620,4724,1
4725,4725,2
4726,4726,1
4727,4731,2
4732,4735,1
4736,4736,2
4737,4824,1
4825,4830,2
4849,4895,1
5000,5214,3
5220,5223,4
5231,5261,3
5262,5263,4
5264,5270,3
5271,5291,4
5301,6256,3
6258,6262,4
6271,6317,3
6318,6338,4
6341,6341,3
6343,6348,4
6350,6353,3
6355,6357,4
6358,6395,3
6396,6398,4
6401,6438,3
6440,6440,2
6442,6443,3
6445,6452,4
6460,6640,3
6642,6725,2
6726,6743,1
6751,6799,2
7000,7470,4
