System ID,Climate,Description,Fuel,Energisation,Component,ax,bx,cx,dx,
ESS-A,All,Electric storage small,Electricity,Continuous,Component A,-0.000016,0.000654,-0.00868,0.041667,"Applies to Hours 0%= hrs 1-7,10,11,13, 15,20-24"
ESS-B,All,Electric storage small,Electricity,Continuous,Component B,0.0000222,-0.00092,0.012147,0.041667,"Applies to Hours 10%= hrs 12,14"
ESS-C,All,Electric storage small,Electricity,Continuous,Component C,0.0000317,-0.00131,0.017352,0.041667,"Applies to Hours 12.5%= hrs 16,17,18,19"
ESS-D,All,Electric storage small,Electricity,Continuous,Component D,0.0000412,-0.0017,0.022558,0.041667,"Applies to Hours 15%= hrs 8,9"
GST-A,All,Gas storage - all star ratings,Gas,Continuous,Component A,-0.000012,0.000505,-0.00719,0.041667,"Applies to Hours 0%= hrs 1-7,10,11,13, 15,20-24"
GST-B,All,Gas storage - all star ratings,Gas,Continuous,Component B,0.0000166,-0.00071,0.010063,0.041667,"Applies to Hours 10%= hrs 12,14"
GST-C,All,Gas storage - all star ratings,Gas,Continuous,Component C,0.0000238,-0.00101,0.014376,0.041667,"Applies to Hours 12.5%= hrs 16,17,18,19"
GST-D,All,Gas storage - all star ratings,Gas,Continuous,Component D,0.0000309,-0.00131,0.018689,0.041667,"Applies to Hours 15%= hrs 8,9"
GIN-A,All,Gas instantaneous - all star ratings,Electricity,Continuous,Component A,-0.0000085,0.000376,-0.00582,0.041667,"Applies to Hours 0%= hrs 1-7,10,11,13, 15,20-24"
GIN-B,All,Gas instantaneous - all star ratings,Electricity,Continuous,Component B,0.0000119,-0.00053,0.00815,0.041667,"Applies to Hours 10%= hrs 12,14"
GIN-C,All,Gas instantaneous - all star ratings,Electricity,Continuous,Component C,0.000017,-0.00075,0.011642,0.041667,"Applies to Hours 12.5%= hrs 16,17,18,19"
GIN-D,All,Gas instantaneous - all star ratings,Electricity,Continuous,Component D,0.0000221,-0.00098,0.015135,0.041667,"Applies to Hours 15%= hrs 8,9"
SHP-A,All,Heat-pump,Electricity,Continuous,Component A,-0.0000012,0.0000664,-0.00182,0.041667,"Applies to Hours 0%= hrs 1-7,10,11,13, 15,20-24"
SHP-B,All,Heat-pump,Electricity,Continuous,Component B,0.00000164,-0.000093,0.002551,0.041667,"Applies to Hours 10%= hrs 12,14"
SHP-C,All,Heat-pump,Electricity,Continuous,Component C,0.00000235,-0.00013,0.003644,0.041667,"Applies to Hours 12.5%= hrs 16,17,18,19"
SHP-D,All,Heat-pump,Electricity,Continuous,Component D,0.00000305,-0.00017,0.004738,0.041667,"Applies to Hours 15%= hrs 8,9"
