System ID,Climate,Month,Description,Fuel,Energisation,Function,a-month,b-month,c-month,d-month,Notes
SOF-1-JAN,1,JAN,Solid fuel,Solid,Any,Main,0,0,0,0.065728,Input in line with hot water energy by month
SOF-1-FEB,1,FEB,Solid fuel,Solid,Any,Main,0,0,0,0.067848,
SOF-1-MAR,1,MAR,Solid fuel,Solid,Any,Main,0,0,0,0.079812,
SOF-1-APR,1,APR,Solid fuel,Solid,Any,Main,0,0,0,0.081781,
SOF-1-MAY,1,MAY,Solid fuel,Solid,Any,Main,0,0,0,0.089202,
SOF-1-JUN,1,JUN,Solid fuel,Solid,Any,Main,0,0,0,0.090868,
SOF-1-JUL,1,JUL,Solid fuel,Solid,Any,Main,0,0,0,0.093897,
SOF-1-AUG,1,AUG,Solid fuel,Solid,Any,Main,0,0,0,0.093897,
SOF-1-SEP,1,SEP,Solid fuel,Solid,Any,Main,0,0,0,0.090868,
SOF-1-OCT,1,OCT,Solid fuel,Solid,Any,Main,0,0,0,0.089202,
SOF-1-NOV,1,NOV,Solid fuel,Solid,Any,Main,0,0,0,0.081781,
SOF-1-DEC,1,DEC,Solid fuel,Solid,Any,Main,0,0,0,0.075117,
SOF-2-JAN,2,JAN,Solid fuel,Solid,Any,Main,0,0,0,0.065728,Input in line with hot water energy by month
SOF-2-FEB,2,FEB,Solid fuel,Solid,Any,Main,0,0,0,0.067848,
SOF-2-MAR,2,MAR,Solid fuel,Solid,Any,Main,0,0,0,0.079812,
SOF-2-APR,2,APR,Solid fuel,Solid,Any,Main,0,0,0,0.081781,
SOF-2-MAY,2,MAY,Solid fuel,Solid,Any,Main,0,0,0,0.089202,
SOF-2-JUN,2,JUN,Solid fuel,Solid,Any,Main,0,0,0,0.090868,
SOF-2-JUL,2,JUL,Solid fuel,Solid,Any,Main,0,0,0,0.093897,
SOF-2-AUG,2,AUG,Solid fuel,Solid,Any,Main,0,0,0,0.093897,
SOF-2-SEP,2,SEP,Solid fuel,Solid,Any,Main,0,0,0,0.090868,
SOF-2-OCT,2,OCT,Solid fuel,Solid,Any,Main,0,0,0,0.089202,
SOF-2-NOV,2,NOV,Solid fuel,Solid,Any,Main,0,0,0,0.081781,
SOF-2-DEC,2,DEC,Solid fuel,Solid,Any,Main,0,0,0,0.075117,
SOF-3-JAN,3,JAN,Solid fuel,Solid,Any,Main,0,0,0,0.065728,Input in line with hot water energy by month
SOF-3-FEB,3,FEB,Solid fuel,Solid,Any,Main,0,0,0,0.067848,
SOF-3-MAR,3,MAR,Solid fuel,Solid,Any,Main,0,0,0,0.079812,
SOF-3-APR,3,APR,Solid fuel,Solid,Any,Main,0,0,0,0.081781,
SOF-3-MAY,3,MAY,Solid fuel,Solid,Any,Main,0,0,0,0.089202,
SOF-3-JUN,3,JUN,Solid fuel,Solid,Any,Main,0,0,0,0.090868,
SOF-3-JUL,3,JUL,Solid fuel,Solid,Any,Main,0,0,0,0.093897,
SOF-3-AUG,3,AUG,Solid fuel,Solid,Any,Main,0,0,0,0.093897,
SOF-3-SEP,3,SEP,Solid fuel,Solid,Any,Main,0,0,0,0.090868,
SOF-3-OCT,3,OCT,Solid fuel,Solid,Any,Main,0,0,0,0.089202,
SOF-3-NOV,3,NOV,Solid fuel,Solid,Any,Main,0,0,0,0.081781,
SOF-3-DEC,3,DEC,Solid fuel,Solid,Any,Main,0,0,0,0.075117,
SOF-4-JAN,4,JAN,Solid fuel,Solid,Any,Main,0,0,0,0.065728,Input in line with hot water energy by month
SOF-4-FEB,4,FEB,Solid fuel,Solid,Any,Main,0,0,0,0.067848,
SOF-4-MAR,4,MAR,Solid fuel,Solid,Any,Main,0,0,0,0.079812,
SOF-4-APR,4,APR,Solid fuel,Solid,Any,Main,0,0,0,0.081781,
SOF-4-MAY,4,MAY,Solid fuel,Solid,Any,Main,0,0,0,0.089202,
SOF-4-JUN,4,JUN,Solid fuel,Solid,Any,Main,0,0,0,0.090868,
SOF-4-JUL,4,JUL,Solid fuel,Solid,Any,Main,0,0,0,0.093897,
SOF-4-AUG,4,AUG,Solid fuel,Solid,Any,Main,0,0,0,0.093897,
SOF-4-SEP,4,SEP,Solid fuel,Solid,Any,Main,0,0,0,0.090868,
SOF-4-OCT,4,OCT,Solid fuel,Solid,Any,Main,0,0,0,0.089202,
SOF-4-NOV,4,NOV,Solid fuel,Solid,Any,Main,0,0,0,0.081781,
SOF-4-DEC,4,DEC,Solid fuel,Solid,Any,Main,0,0,0,0.075117,
ESS-1-JAN,1,JAN,Electric storage small,Electricity,Continuous,Main,0,0,0,0.06726,
ESS-1-FEB,1,FEB,Electric storage small,Electricity,Continuous,Main,0,0,0,0.068112,
ESS-1-MAR,1,MAR,Electric storage small,Electricity,Continuous,Main,0,0,0,0.079116,
ESS-1-APR,1,APR,Electric storage small,Electricity,Continuous,Main,0,0,0,0.081341,
ESS-1-MAY,1,MAY,Electric storage small,Electricity,Continuous,Main,0,0,0,0.089275,
ESS-1-JUN,1,JUN,Electric storage small,Electricity,Continuous,Main,0,0,0,0.091331,
ESS-1-JUL,1,JUL,Electric storage small,Electricity,Continuous,Main,0,0,0,0.09458,
ESS-1-AUG,1,AUG,Electric storage small,Electricity,Continuous,Main,0,0,0,0.093801,
ESS-1-SEP,1,SEP,Electric storage small,Electricity,Continuous,Main,0,0,0,0.090378,
ESS-1-OCT,1,OCT,Electric storage small,Electricity,Continuous,Main,0,0,0,0.088496,
ESS-1-NOV,1,NOV,Electric storage small,Electricity,Continuous,Main,0,0,0,0.081063,
ESS-1-DEC,1,DEC,Electric storage small,Electricity,Continuous,Main,0,0,0,0.075246,
ESS-2-JAN,2,JAN,Electric storage small,Electricity,Continuous,Main,0,0,0,0.066291,
ESS-2-FEB,2,FEB,Electric storage small,Electricity,Continuous,Main,0,0,0,0.067257,
ESS-2-MAR,2,MAR,Electric storage small,Electricity,Continuous,Main,0,0,0,0.079446,
ESS-2-APR,2,APR,Electric storage small,Electricity,Continuous,Main,0,0,0,0.081744,
ESS-2-MAY,2,MAY,Electric storage small,Electricity,Continuous,Main,0,0,0,0.089981,
ESS-2-JUN,2,JUN,Electric storage small,Electricity,Continuous,Main,0,0,0,0.092057,
ESS-2-JUL,2,JUL,Electric storage small,Electricity,Continuous,Main,0,0,0,0.096551,
ESS-2-AUG,2,AUG,Electric storage small,Electricity,Continuous,Main,0,0,0,0.095126,
ESS-2-SEP,2,SEP,Electric storage small,Electricity,Continuous,Main,0,0,0,0.090638,
ESS-2-OCT,2,OCT,Electric storage small,Electricity,Continuous,Main,0,0,0,0.086926,
ESS-2-NOV,2,NOV,Electric storage small,Electricity,Continuous,Main,0,0,0,0.080089,
ESS-2-DEC,2,DEC,Electric storage small,Electricity,Continuous,Main,0,0,0,0.073893,
ESS-3-JAN,3,JAN,Electric storage small,Electricity,Continuous,Main,0,0,0,0.067444,
ESS-3-FEB,3,FEB,Electric storage small,Electricity,Continuous,Main,0,0,0,0.068012,
ESS-3-MAR,3,MAR,Electric storage small,Electricity,Continuous,Main,0,0,0,0.079017,
ESS-3-APR,3,APR,Electric storage small,Electricity,Continuous,Main,0,0,0,0.081422,
ESS-3-MAY,3,MAY,Electric storage small,Electricity,Continuous,Main,0,0,0,0.089667,
ESS-3-JUN,3,JUN,Electric storage small,Electricity,Continuous,Main,0,0,0,0.091182,
ESS-3-JUL,3,JUL,Electric storage small,Electricity,Continuous,Main,0,0,0,0.094737,
ESS-3-AUG,3,AUG,Electric storage small,Electricity,Continuous,Main,0,0,0,0.093803,
ESS-3-SEP,3,SEP,Electric storage small,Electricity,Continuous,Main,0,0,0,0.089597,
ESS-3-OCT,3,OCT,Electric storage small,Electricity,Continuous,Main,0,0,0,0.088773,
