Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0.005113,0.006339,0.006158,0.006683,0.006774,0.007953,0.00739,0.00739,0.00732,0.006468,0.006683,0.005852
8,0.007668,0.009511,0.009239,0.010023,0.010161,0.011933,0.011084,0.011084,0.010977,0.0097,0.010023,0.008777
9,0.0023,0.002854,0.002771,0.003007,0.003048,0.00358,0.003326,0.003326,0.003293,0.00291,0.003007,0.002632
10,0.0023,0.002854,0.002771,0.003007,0.003048,0.00358,0.003326,0.003326,0.003293,0.00291,0.003007,0.002632
11,0.0023,0.002854,0.002771,0.003007,0.003048,0.00358,0.003326,0.003326,0.003293,0.00291,0.003007,0.002632
12,0.003577,0.004439,0.00431,0.004677,0.004742,0.005567,0.005174,0.005174,0.005123,0.004526,0.004677,0.004097
13,0.003577,0.004439,0.00431,0.004677,0.004742,0.005567,0.005174,0.005174,0.005123,0.004526,0.004677,0.004097
14,0.003577,0.004439,0.00431,0.004677,0.004742,0.005567,0.005174,0.005174,0.005123,0.004526,0.004677,0.004097
15,0.003323,0.004121,0.004003,0.004343,0.004403,0.00517,0.004803,0.004803,0.004757,0.004203,0.004343,0.003803
16,0.003577,0.004439,0.00431,0.004677,0.004742,0.005567,0.005174,0.005174,0.005123,0.004526,0.004677,0.004097
17,0.025558,0.031704,0.030794,0.03341,0.033871,0.039773,0.036952,0.036952,0.036593,0.032332,0.03341,0.029252
18,0.051116,0.063411,0.061584,0.06682,0.067742,0.079547,0.073903,0.073903,0.073183,0.064665,0.06682,0.058506
19,0.051116,0.063411,0.061584,0.06682,0.067742,0.079547,0.073903,0.073903,0.073183,0.064665,0.06682,0.058506
20,0.025558,0.031704,0.030794,0.03341,0.033871,0.039773,0.036952,0.036952,0.036593,0.032332,0.03341,0.029252
21,0.012777,0.015854,0.015397,0.016703,0.016935,0.019887,0.018474,0.018474,0.018297,0.016165,0.016703,0.014626
22,0.00639,0.007925,0.007697,0.008353,0.008468,0.009943,0.009239,0.009239,0.009147,0.008084,0.008353,0.007313
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
