from_postcode,to_postcode,zone
800,854,HP1-AU
860,860,HP2-AU
862,862,HP1-AU
870,875,HP2-AU
880,886,HP1-AU
2000,2347,HP3-AU
2350,2350,HP5-AU
2352,2361,HP3-AU
2365,2369,HP5-AU
2370,2579,HP3-AU
2580,2581,HP5-AU
2582,2582,HP3-AU
2583,2583,HP5-AU
2584,2594,HP3-AU
2600,2617,HP5-AU
2618,2618,HP3-AU
2619,2633,HP5-AU
2640,2648,HP3-AU
2649,2649,HP5-AU
2650,2652,HP3-AU
2653,2653,HP5-AU
2655,2717,HP3-AU
2720,2720,HP5-AU
2721,2727,HP3-AU
2729,2730,HP5-AU
2731,2786,HP3-AU
2787,2792,HP5-AU
2793,2794,HP3-AU
2795,2800,HP5-AU
2803,2844,HP3-AU
2845,2847,HP5-AU
2848,2898,HP3-AU
2900,2914,HP5-AU
3000,3115,HP4-AU
3116,3116,HP5-AU
3121,3136,HP4-AU
3137,3140,HP5-AU
3141,3156,HP4-AU
3158,3160,HP5-AU
3161,3287,HP4-AU
3289,3289,HP5-AU
3292,3292,HP4-AU
3293,3301,HP5-AU
3302,3312,HP4-AU
3314,3315,HP5-AU
3317,3345,HP4-AU
3350,3350,HP5-AU
3351,3351,HP4-AU
3352,3358,HP5-AU
3360,3361,HP4-AU
3363,3370,HP5-AU
3371,3371,HP4-AU
3373,3373,HP5-AU
3374,3374,HP4-AU
3375,3379,HP5-AU
3380,3381,HP4-AU
3384,3384,HP3-AU
3385,3387,HP4-AU
3388,3396,HP3-AU
3400,3401,HP4-AU
3407,3407,HP5-AU
3409,3413,HP4-AU
3414,3424,HP3-AU
3427,3429,HP4-AU
3430,3463,HP5-AU
3464,3465,HP3-AU
3467,3469,HP5-AU
3472,3520,HP3-AU
3521,3522,HP4-AU
3523,3649,HP3-AU
3658,3658,HP4-AU
3659,3673,HP3-AU
3675,3678,HP5-AU
3682,3695,HP3-AU
3697,3723,HP5-AU
3725,3730,HP3-AU
3732,3746,HP5-AU
3747,3749,HP3-AU
3750,3762,HP4-AU
3763,3763,HP5-AU
3764,3764,HP4-AU
3765,3779,HP5-AU
3781,3783,HP4-AU
3785,3799,HP5-AU
3802,3815,HP4-AU
3816,3824,HP5-AU
3825,3825,HP4-AU
3831,3835,HP5-AU
3840,3892,HP4-AU
3893,3900,HP5-AU
3902,3996,HP4-AU
4000,4419,HP3-AU
4420,4420,HP1-AU
4421,4428,HP3-AU
4454,4454,HP1-AU
4455,4465,HP3-AU
4467,4468,HP1-AU
4470,4474,HP2-AU
4477,4477,HP1-AU
4478,4482,HP2-AU
4486,4488,HP3-AU
4489,4493,HP2-AU
4494,4615,HP3-AU
4620,4724,HP1-AU
4725,4725,HP2-AU
4726,4726,HP1-AU
4727,4731,HP2-AU
4732,4735,HP1-AU
4736,4736,HP2-AU
4737,4824,HP1-AU
4825,4830,HP2-AU
4849,4895,HP1-AU
5000,5214,HP3-AU
5220,5223,HP4-AU
5231,5261,HP3-AU
5262,5263,HP4-AU
5264,5270,HP3-AU
5271,5291,HP4-AU
5301,6256,HP3-AU
6258,6262,HP4-AU
6271,6317,HP3-AU
6318,6338,HP4-AU
6341,6341,HP3-AU
6343,6348,HP4-AU
6350,6353,HP3-AU
6355,6357,HP4-AU
6358,6395,HP3-AU
6396,6398,HP4-AU
6401,6438,HP3-AU
6440,6440,HP2-AU
6442,6443,HP3-AU
6445,6452,HP4-AU
6460,6640,HP3-AU
6642,6725,HP2-AU
6726,6743,HP1-AU
6751,6799,HP2-AU
7000,7470,HP5-AU
