Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.010833,0.011894,0.011069,0.010417,0.010369,0.011002,0.01047,0.010804,0.011012,0.010867,0.011101,0.011026
2,0.005417,0.005947,0.005534,0.005208,0.005184,0.005501,0.005235,0.005402,0.005506,0.005433,0.005551,0.005513
3,0.002167,0.002379,0.002214,0.002083,0.002074,0.0022,0.002094,0.002161,0.002202,0.002173,0.00222,0.002205
4,0.002167,0.002379,0.002214,0.002083,0.002074,0.0022,0.002094,0.002161,0.002202,0.002173,0.00222,0.002205
5,0.002167,0.002379,0.002214,0.002083,0.002074,0.0022,0.002094,0.002161,0.002202,0.002173,0.00222,0.002205
6,0.002167,0.002379,0.002214,0.002083,0.002074,0.0022,0.002094,0.002161,0.002202,0.002173,0.00222,0.002205
7,0.0026,0.00339,0.003597,0.004427,0.005184,0.006326,0.006282,0.005402,0.005066,0.003984,0.003164,0.002812
8,0.0039,0.005531,0.006088,0.007813,0.009332,0.010727,0.01047,0.009724,0.00903,0.006882,0.005162,0.004355
9,0.004117,0.00559,0.006088,0.007813,0.009332,0.011552,0.011517,0.009724,0.00903,0.006882,0.005218,0.004521
10,0.0039,0.005174,0.005479,0.006406,0.006843,0.008086,0.007957,0.007131,0.007004,0.006013,0.004829,0.004245
11,0.003467,0.00452,0.004538,0.00474,0.005184,0.005996,0.005863,0.005402,0.005242,0.004636,0.004219,0.003749
12,0.00325,0.004104,0.003985,0.00375,0.003733,0.004621,0.004607,0.003889,0.003964,0.003912,0.00383,0.003473
13,0.00325,0.003568,0.003321,0.003125,0.003111,0.003301,0.003141,0.003241,0.003304,0.00326,0.00333,0.003308
14,0.00325,0.003568,0.003321,0.003125,0.003111,0.003301,0.003141,0.003241,0.003304,0.00326,0.00333,0.003308
15,0.00325,0.003568,0.003321,0.003125,0.003111,0.003301,0.003141,0.003241,0.003304,0.00326,0.00333,0.003308
16,0.00325,0.003568,0.003431,0.003646,0.00394,0.004676,0.004607,0.004106,0.004008,0.00355,0.00333,0.003308
17,0.003467,0.003985,0.003929,0.004323,0.00477,0.006711,0.00691,0.00497,0.004801,0.004129,0.003719,0.003584
18,0.00455,0.005709,0.006641,0.010417,0.01348,0.018428,0.018846,0.014045,0.012554,0.008331,0.005329,0.004852
19,0.007583,0.011002,0.013836,0.023438,0.031107,0.047033,0.049208,0.032412,0.028632,0.018111,0.010269,0.008545
20,0.015167,0.022005,0.025459,0.036459,0.045623,0.050058,0.048161,0.047537,0.043168,0.030427,0.020538,0.017091
21,0.023834,0.031877,0.033428,0.039011,0.044586,0.048133,0.046067,0.046457,0.044093,0.036077,0.029752,0.026022
22,0.031417,0.038062,0.037081,0.03698,0.038365,0.040707,0.038738,0.039975,0.039864,0.037309,0.035525,0.033079
23,0.0325,0.035683,0.033207,0.031251,0.031107,0.033005,0.03141,0.032412,0.033037,0.0326,0.033304,0.033079
24,0.021667,0.023789,0.022138,0.020834,0.020738,0.022004,0.02094,0.021608,0.022024,0.021733,0.022203,0.022053
